Keywords,Label
"TVK Shock In Tamil Nadu, NDA Sweep In Assam, LDF Upset: Axis My India Exit Poll | Highlights",0
"MI vs SRH Highlights, IPL 2026: Ryan Rickelton Century Goes In Vain As SRH Ease Past MI By 6 Wickets",0
"CBSE Class 12 Result Date: Exam Controller Responds To Rumours, Shares Expected Timeline",0
"The Bass Dropped, So Did 140 Chickens: UP Poultry Farmer's Day Of Horror",0
"Indian Founder Makes Daily 1-Hour 'Office Picnic' Mandatory For 40-Member Team, Wins Praise",0
"""Upper Caste Or Earning Rs 80 Lakh"": Daughter Of IPS Officer Sets Groom Criteria, Sparks Debate",0
"""Upper Caste Or Earning Rs 80 Lakh"": Daughter Of IPS Officer Sets Groom Criteria, Sparks Debate",0
Can People With Diabetes Eat Muskmelon? What Research Tells Us,0
"India Is Set To Get Its First Commercial Seaplanes, Starting With Lakshadweep",0
"Judiciary chapter ‘scrutinised at the highest level, including NCERT director,’ expert states in textbook row",0
Record 92.6% turnout in West Bengal’s phase two poll; total State turnout highest since Independence,0
Congress confronts Hegseth for the first time since Iran war started,0
Extended Srinagar-Jammu Vande Bharat will allow ‘unbroken journey’ on pilgrim circuit,0
22 suspected heatstroke cases reported across Telangana,0
"Concerns have been raised about the Tata Consultancy Services sexual exploitation and alleged forcible conversions case that involves nine FIRs, related to complaints of alleged sexual exploitation, rape and forcible conversion at the company’s office in Nashik, Maharashtra, between 2022 and 2026",0
"In the 1st millennium Islam, Christianity, Judaism, and Zoroastrianism became established on India's southern and western coasts.",
"Kaggle Benchmarks is a standardized framework and platform designed for evaluating Large Language Models (LLMs). It provides researchers with a robust environment to independently define, run, and host high-quality evaluations, seamlessly turning them into public leaderboards that track state-of-the-art AI progress with full reproducibility and transparency.",
